,id,title,recipe_name,usedIngredientCount,ingredients_used
35,647417,Hot Cheesy Bacon Party Dip,Hot Cheesy Bacon Party Dip,5,"['bacon', 'cream cheese', 'cheddar cheese)', 'roma tomatoes - seeds and inner goop removed - only use the outside meat', 'bundle of green onions']"
36,632463,Apple and Potato Fritatta,Apple and Potato Fritatta,5,"['carrots', 'eggs', 'extra sharp cheddar cheese', 'fuji apple', 'onion']"
29,715394,Chicken Enchilada Casserole,Chicken Enchilada Casserole,5,"['cheese', 'chicken pre', 'canned tomatoes', 'flour tortillas torn into bite sized pieces', 'green onion tops optional']"
31,633594,Baked Eggs and Bacon Cream In Spinach Fettuccine Nests,Baked Eggs and Bacon Cream In Spinach Fettuccine Nests,5,"['bacon', 'parmigiano-reggiano', 'eggs', 'nests of spinach fettuccine', 'scallions']"
30,637658,Cheesy Ham and Shrimp Macaroni Au Gratin,Cheesy Ham and Shrimp Macaroni Au Gratin,5,"['elbow pasta', 'ham', 'big shitake mushrooms', 'parmesan and m zarella cheese', 'shrimps']"
1,636458,Bunny Eggs Kids Breakfast,Bunny Eggs Kids Breakfast,4,"['bacon', 'blueberries', 'eggs', 'mild cheddar cheese']"
0,715538,What to make for dinner tonight?? Bruschetta Style Pork & Pasta,What to make for dinner tonight?? Bruschetta Style Pork & Pasta,4,"['bow tie pasta', 'parmigiano reggiano', 'recipe makers chicken bruschetta pasta', 'pork chops']"
46,633264,Bacon & Egg Bouquets,Bacon & Egg Bouquets,4,"['turkey bacon', 'roma tomato', 'avocado', 'goat cheese']"
47,650744,Mango & Goat Cheese Quesadillas,Mango & Goat Cheese Quesadillas,4,"['goat cheese', 'mango', 'onion', 'tortillas']"
48,638190,Chicken Medallions And Fruit Salad,Chicken Medallions And Fruit Salad,4,"['chicken breast', 'onion', 'tomato', 'some pineapple wedges']"
45,651840,Bacon And Bleu Table-For-Two Salad,Bacon And Bleu Table-For-Two Salad,4,"['bleu cheese', 'bacon', 'granny smith apple', 'purple onion']"
49,639337,"Chorizo, Bacon, Mushroom and Pea Pasta","Chorizo, Bacon, Mushroom and Pea Pasta",4,"['bacon', 'chorizo links', 'mushrooms', 'pasta']"
44,642230,Egg Souffle With Bacon and Asparagus,Egg Souffle With Bacon and Asparagus,4,"['bacon', 'eggs', 'onion', 'parmesan cheese']"
43,639320,Chorizo and egg bake,Chorizo and egg bake,4,"['cheddar cheese', 'chorizo sausage', 'eggs', 'onion']"
42,665524,Yellow Noodle Cake,Yellow Noodle Cake,4,"['flat noodles', 'eggs', 'shallot', 'parmensan cheese']"
10,636411,Buffalo Chicken Wings Wonton Wraps,Buffalo Chicken Wings Wonton Wraps,4,"['weight chicken', 'weight cream cheese', 'weight cheddar cheese', 'wonton wrappers']"
2,634625,Beef Liver With Onions and Bacon,Beef Liver With Onions and Bacon,4,"['beef liver', 'milk', 'onion', 'bacon']"
39,716311,Mango Fried Rice,Mango Fried Rice,4,"['seasoning cubes', 'mango', 'rice', 'vegetables']"
40,715596,Learning to live healthier,Learning to live healthier,4,"['pineapple pepper beef', 'pomegranate chicken', 'plum ginger grain-crusted fish', 'lemongrass salmon']"
41,641904,Easy Chicken Tandoori,Easy Chicken Tandoori,4,"['chicken', 'greek yogurt', 'onions', 'tomatoes']"
12,646317,Harvest Hash,Harvest Hash,3,"['bacon', 'onion', 'honey apples']"
11,1003670,Stuffed Chicken Breast,Stuffed Chicken Breast,3,"['cream cheese', 'green onions', 'chicken breast']"
3,661447,Square Deviled Eggs,Square Deviled Eggs,3,"['eggs', 'cream cheese', 'ham']"
17,664547,Vegetable Dip,Vegetable Dip,3,"['onion', 'lowfat yogurt', 'vegetables']"
16,664340,Vanilla Yogurt Mousse With Strawberry Marshmallow,Vanilla Yogurt Mousse With Strawberry Marshmallow,3,"['vanilla yoghurt', 'milk', 'blueberries']"
15,650132,Linguine With Chick Peas and Bacon,Linguine With Chick Peas and Bacon,3,"['asiago cheese', 'bacon', 'linguini']"
14,648439,Jamie's Guacamole,Jamie's Guacamole,3,"['avocado', 'onion', 'roma tomato']"
13,633337,"Bacon Wrapped Dates with Manchego, Romesco Sauce","Bacon Wrapped Dates with Manchego, Romesco Sauce",3,"['hardwood bacon', 'manchego cheese', 'romesco sauce']"
19,662665,Swiss Bircher Muesli,Swiss Bircher Muesli,3,"['apple', 'milk', 'vanilla yoghurt']"
18,715736,Eggs,Eggs,3,"['breakfast tacos', 'spinach', 'spinach frittata']"
20,1747693,Your Basic Low Carb Breakfast,Your Basic Low Carb Breakfast,3,"['eggs', 'kirkland signature bacon', 'avocado']"
27,644958,Goat Cheese Stuffed Bacon Wrapped Jalapeno Appetizer,Goat Cheese Stuffed Bacon Wrapped Jalapeno Appetizer,2,"['bacon', 'goat cheese']"
26,641717,Duck Rumaki,Duck Rumaki,2,"['bacon', 'duck breast']"
28,665823,Melt Your Heart,Melt Your Heart,2,"['plain/flavour yogurt', 'blueberries']"
21,633338,Bacon Wrapped Filet Mignon,Bacon Wrapped Filet Mignon,2,"['beef tenderloin steaks', 'bacon']"
22,982365,Instant Pot Hawaiian Chicken,Instant Pot Hawaiian Chicken,2,"['chicken breasts', 'dole pineapple tidbits']"
23,658491,Roasted Asparagus With Bacon and Feta Cheese,Roasted Asparagus With Bacon and Feta Cheese,2,"['bacon', 'feta cheese']"
24,659581,Scotch Eggs,Scotch Eggs,2,"['bulk sausage', 'eggs']"
25,1056442,How to Make an Amazing Bacon Wrapped Stuffed Chicken Breast,How to Make an Amazing Bacon Wrapped Stuffed Chicken Breast,2,"['wright brand hickory bacon', 'chicken breasts']"
